sitzung,titel
200, Eröffnung der Jubiläumssitzung (200. StuRa-Sitzung)
200, Persönliche Stellungnahme
200, Beschluss der Tagesordnung
200," TOP ,,Die Befreiung vom Faschismus verwirklichen: 8. Mai zum antifaschistischen Feiertag"" vorziehen hinter die Kandidaturen zum Vorsitz"
200, Vorsitzkandidatur und -wahl direkt nach Beschluss der Tagesordnung
200," TOP ,,Einrichtung des autonomen Anti-Antisemitismusreferats"" nach den Vorsitzkandidaturen"
200, Kandidatur für den Vorsitz der Verfassten Studierendenschaft (weiblich)
200, Kandidatur für den Vorsitz der Verfassten Studierendenschaft (weiblich)
200, Kandidatur für den Vorsitz der Verfassten Studierendenschaft (männlich)
200, Kandidatur für den Vorsitz der Verfassten Studierendenschaft (männlich)
200, Kandidatur für den Vorsitz der Verfassten Studierendenschaft (männlich)
200, Einrichtung des autonomen Anti-Antisemitismusreferats
200, Die Befreiung vom Faschismus verwirklichen: 8. Mai zum antifaschistischen Feiertag
200, Änderungsantrag: Die Befreiung vom Faschismus verwirklichen: 8. Mai zum antifaschistischen Feiertag
200, Persönliche Erklärung
200, Bekanntgabe der Wahlergebnisse
200, Persönliche Erklärung
200, Beschluss des Protokolls der 197. Sitzung
200, Beschluss des Protokolls der 198. Sitzung
200, Beschluss des Protokolls der 199. Sitzung
200, Termin: Interdisziplinäres Running Dinner am 12.06.
200, Termin: Besuch der Rektorin am 15.07.
200, Bericht 22.04.2025
200, Kandidatur für das Referat für Kultur und Sport
200, Nikolai Glasow
200, Florian Gottscheber
200, Kandidatur für das Finanzreferat
200, Kandidatur für das Innenreferat
200, Alexandre Métivier
200, Stefan Behrens
200, Kandidatur für das Referat für Politische Bildung
200, Kandidatur für das Referat für IT und Infrastruktur
200, Jakob Sinn
200, Benjamin Hellinger
200, Kandidaturen für das AI-Board
200, Colin Fyock
200, Tobias Thaller
200, Jan Best
200, Anton Fortuin
200, Yagmur Yüzak
200, Simon Tebeck
200, Marius Baumann
200, Kandidatur für den Notlagenausschuss
200, Kandidatur für das QSM-Referat
200, Grußworte der Rektorin (Verlesen am Ende der Sitzung)
200, Bericht des Vorsitzes
200, Bericht des Verkehrsreferats
